Start Year,End Year,Kill Constant,Environment Capacity,,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,280000000000,0.6,false,1.5625,1400000,2.4219464631229326,3.784291348629582
1,43,1.066,2000000,400000000000,0.6,false,1.5625,2000000,0.9684604800883871,1.513219500138105
44,200,1.066,4400000,880000000000,0.6,false,1.5625,4400000,0.944229221160865,1.4753581580638517
201,410,1.066,3000000,600000000000,0.6,false,1.5625,3000000,0.8949853861922628,1.3984146659254106
411,430,1.066,1200000,240000000000,0.6,false,1.5625,1200000,0.9366071428571429,1.4634486607142858
431,500,1.066,1200000,240000000000,0.6,false,1.5625,1200000,0.9313945578231292,1.4553039965986394
501,750,1.066,1200000,240000000000,0.6,false,1.5625,1200000,1.0207619047619032,1.5949404761904737
751,950,1.066,1400000,280000000000,0.6,false,1.5625,1400000,0.9690138888888886,1.5140842013888884
951,1066,1.066,1400000,280000000000,0.6,false,1.940917,1400000,3.111096207432404,6.038379517641079
1067,1086,1.066,2000000,400000000000,0.6,false,0.9704579999999999,2000000,2.238220113220112,2.172098614635363
1087,1190,1.066,3600000,720000000000,0.6,false,0.9704579999999999,3600000,1.4566654499346812,1.4136326392127108
1191,1220,1.066,4800000,960000000000,0.6,false,0.9704579999999999,4800000,1.4512413386407197,1.4083687670145955
1221,1250,1.066,5000000,1000000000000,0.6,false,0.9704579999999999,5000000,1.3699902143207094,1.3295179634092469
1251,1279,1.066,5200000,1040000000000,0.6,false,0.9704579999999999,5200000,1.4288245122610446,1.3866141785198287
1280,1290,1.066,5600000,1120000000000,0.6,false,1.7365439999999999,5600000,7.593483639672181,13.186418453570887
1291,1315,1.066,5600000,1120000000000,0.6,false,1.7365439999999999,5600000,0.7809463429329603,1.3561476861421744
1316,1325,1.066,5000000,1000000000000,0.6,false,1.7365439999999999,5000000,0.7624622307378475,1.3240492120144245
1326,1348,1.066,5600000,1120000000000,0.6,false,1.7365439999999999,5600000,0.8001862675596607,1.3895586618131233
1349,1351,1.066,3000000,600000000000,0.6,true,1.3024069999999999,3000000,2.669642857142857,3.476961544642857
1352,1377,1.066,3000000,600000000000,0.6,false,1.3024069999999999,3000000,1.059744977872806,1.3802192773963877
1378,1400,1.066,2400000,480000000000,0.6,false,1.3024069999999999,2400000,1.016453112105286,1.3238356483777092
1401,1430,1.066,2400000,480000000000,0.6,false,1.3024069999999999,2400000,1.1548484848484846,1.5040827506060601
1431,1450,1.066,2200000,440000000000,0.6,false,1.3024069999999999,2200000,1.0409188034188035,1.3556999360042734
1451,1490,1.066,2600000,520000000000,0.6,false,1.3024069999999999,2600000,1.1586688311688313,1.509058396396104
1491,1522,1.066,2800000,560000000000,0.6,false,1.3024069999999999,2800000,1.069981060606061,1.3935508232007578
1523,1541,1.066,3400000,680000000000,0.6,false,1.3024069999999999,3400000,1.0959356048691231,1.4273542033307798
1542,1560,1.066,3800000,760000000000,0.6,false,1.3024069999999999,3800000,1.1517734286697134,1.5000777759134354
1561,1600,1.066,5000000,1000000000000,0.6,false,1.3024069999999999,5000000,1.1092096608472466,1.4446424267550797
1601,1650,1.066,6200000,1240000000000,0.6,false,1.3024069999999999,6200000,1.0638472190644606,1.3855620650400868
1651,1700,1.066,6200000,1240000000000,0.6,false,1.3024069999999999,6200000,1.0628554924641127,1.3842704333737075
1701,1801,1.066,11200000,2240000000000,0.6,false,1.3024069999999999,11200000,1.063360391232091,1.384928017063414
1802,1811,1.066,12400000,2480000000000,0.6,false,1.3024069999999999,12400000,1.0358299681641143,1.3490722013467196
1812,1821,1.066,13400000,2680000000000,0.6,false,1.3024069999999999,13400000,1.0340222457360846,1.3467178110023965
1822,1831,1.066,15800000,3160000000000,0.6,false,1.3024069999999999,15800000,1.061381773594537,1.38235105160194
1832,1841,1.066,20200000,4040000000000,0.6,false,1.3024069999999999,20200000,1.106593877831592,1.44123561264501
1842,1851,1.066,27400000,5480000000000,0.6,false,1.3024069999999999,27400000,1.1205858002910651,1.4594587903996852
1852,1861,1.066,29000000,5800000000000,0.6,false,1.3024069999999999,29000000,1.0312292330866843,1.3430801717767291
1862,1871,1.066,31400000,6280000000000,0.6,false,1.3024069999999999,31400000,1.0562749572369428,1.3756998982300948
1872,1881,1.066,35000000,7000000000000,0.6,false,1.3024069999999999,35000000,1.0462537812245856,1.3626482484433686
1882,1891,1.066,37800000,7560000000000,0.6,false,1.3024069999999999,37800000,1.026083601641742,1.3363784653634163
1892,1901,1.066,38200000,7640000000000,0.6,false,1.3024069999999999,38200000,1.026880477122032,1.337416321567074
1902,1911,1.003,42000000,8400000000000,0.13,false,1.3024069999999999,42000000,1.0714947213683697,1.395522225573214
1912,1921,1.003,44000000,8800000000000,0.13,false,1.3024069999999999,44000000,1.0181271690215177,1.3260159518238077
1922,1931,1.003,45000000,9000000000000,0.13,false,1.3024069999999999,45000000,1.0267021234018086,1.3371840324333792
1932,1941,1.003,50200000,10040000000000,0.13,false,1.3024069999999999,50200000,1.0632147438206594,1.3847383248552334
1942,1951,1.003,52800000,10560000000000,0.13,false,1.3024069999999999,52800000,1.0485595967567989,1.365651358733232
1952,1961,1.003,55800000,11160000000000,0.13,false,1.3024069999999999,55800000,1.0473957808670282,1.3641355967716835
1962,1971,1.003,56200000,11240000000000,0.13,false,1.3024069999999999,56200000,1.0464414271159854,1.3628926397658492
1972,1981,1.003,57400000,11480000000000,0.13,false,1.3024069999999999,57400000,1.037843768690355,1.3516949892486991
1982,1991,1.003,59200000,11840000000000,0.13,false,1.3024069999999999,59200000,1.0523418973819108,1.370577453543482
1992,2001,1.003,63200000,12640000000000,0.13,false,1.3024069999999999,63200000,1.0748889566924777,1.3999429014189797
2002,2011,1.003,65600000,13120000000000,0.13,false,1.3024069999999999,65600000,1.062137658627131,1.3833355215595855
2012,2015,1.003,66200000,13240000000000,0.13,false,1.3024069999999999,66200000,1.0280337659693046,1.338918373034784
