Tuning File,Epochs File,Generations File,Max Expected Population,Historical Disease Population,Historical Disease Killed,Historical Disease Death Rate,Modern Disease Population,Modern Disease Killed,Modern Disease Death Rate,Total Born,Total Killed,Function,Historic Fit,Disease Fit,Modern Fit,Modern Breeding,Size of Genes,Number of Genes,Mutations,SeriesRuns,ParallelRuns
..\2018-09-11\Sphere-20000-1000.csv,..\2018-09-11\functionepochs-Sphere-20000-1000-150.csv,allgenerations-2018-09-11T08-22-49.229Z.csv,66250000,5052583,3021255,59,54792014,28799864,52,466943405,438908552,Sphere,2.864556445,2.355004629,3.028667929,0.09,1000,20000,150,2500,10
..\2018-09-13\Exponential-20000-1000.csv,..\2018-09-13\functionepochs-Exponential-20000-1000-150.csv,allgenerations-2018-09-13T08-13-13.927Z.csv,66250000,6026758,3606795,59,65233370,37543551,57,542906457,526652926,Exponential,0.945355191,0.763502137,1.017774186,0.09,1000,20000,150,2500,10
..\2018-09-13\Schwefel220-20000-1000.csv,..\2018-09-13\functionepochs-Schwefel220-20000-1000-150.csv,allgenerations-2018-09-15T09-25-22.802Z.csv,66250000,6015083,3599515,59,65010813,36145004,55,544221542,525846395,Schwefel220,1.9008604,1.554221574,2.028072369,0.09,1000,20000,150,2500,10
..\2018-09-17\tuning\Ackleys-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Ackleys-20000-1000-150.csv,allgenerations-2018-09-17T11-18-39.404Z.csv,6625000,569345,341015,59,6213267,3223512,51,52521175,49859427,Ackleys,1.515918489,1.259610997,1.649014774,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Alpine-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Alpine-20000-1000-150.csv,allgenerations-2018-09-17T21-49-32.704Z.csv,6625000,712272,427010,59,7729911,4376979,56,65612704,62180242,Alpine,8.148102823,6.517938433,8.675651839,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Brown-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Brown-20000-1000-150.csv,allgenerations-2018-09-18T13-07-20.705Z.csv,6625000,582254,348414,59,6353850,3519191,55,51156078,48745948,Brown,3.39216486,2.754310307,3.609074461,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\ChungReynolds-20000-1000.csv,..\2018-09-17\epochs\functionepochs-ChungReynolds-20000-1000-150.csv,allgenerations-2018-09-22T23-30-03.254Z.csv,6625000,407365,243298,59,4438103,2637427,59,37456902,35100349,ChungReynolds,8.563750501,6.651219512,8.91541967,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\DixonPrice-20000-1000.csv,..\2018-09-17\epochs\functionepochs-DixonPrice-20000-1000-150.csv,allgenerations-2018-09-23T02-29-47.574Z.csv,6625000,611795,367655,60,6683709,3518752,52,53988182,50438256,DixonPrice,5.676444848,4.661691287,5.927314437,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Exponential-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Exponential-20000-1000-150.csv,allgenerations-2018-09-23T09-44-16.209Z.csv,6625000,602673,360642,59,6551432,3769498,57,54436773,52787912,Exponential,0.945355191,0.763502137,1.017774186,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Griewank-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Griewank-20000-1000-150.csv,allgenerations-2018-09-23T14-15-20.338Z.csv,6625000,552366,330486,59,6023375,3322481,55,50494004,48409618,Griewank,2.835673011,2.313341886,3.067375996,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Qing-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Qing-20000-1000-150.csv,allgenerations-2018-09-23T21-39-28.343Z.csv,6625000,507581,303379,59,5504507,3027637,55,48303467,47026962,Qing,0.839681594,0.693575018,0.927456973,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Rastrigin-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Rastrigin-20000-1000-150.csv,allgenerations-2018-09-24T02-56-51.375Z.csv,6625000,560222,335965,59,6164898,3379461,54,52122397,49511939,Rastrigin,4.051599646,3.294974603,4.264436254,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Rosenbrock-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Rosenbrock-20000-1000-150.csv,allgenerations-2018-09-24T15-21-04.494Z.csv,6625000,538388,322310,59,5888044,3321305,56,49595458,46897582,Rosenbrock,6.6933205,5.359758022,7.121093404,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Salomon-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Salomon-20000-1000-150.csv,allgenerations-2018-09-24T20-11-05.044Z.csv,6625000,615463,367916,59,5848505,3359843,57,49506537,47715421,Salomon,1.98E-04,1.59E-04,2.13E-04,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\SchumerSteiglitz-20000-1000.csv,..\2018-09-17\epochs\functionepochs-SchumerSteiglitz-20000-1000-150.csv,allgenerations-2018-09-25T00-19-02.824Z.csv,6625000,486016,290602,59,5307433,2898882,54,44334708,42566095,SchumerSteiglitz,4.700861604,3.854165992,5.117483535,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Schwefel220-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Schwefel220-20000-1000-150.csv,allgenerations-2018-09-25T06-18-24.671Z.csv,6625000,601062,359426,59,6520900,3625020,55,54525100,52685269,Schwefel220,1.9008604,1.554221574,2.028072369,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Schwefel226-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Schwefel226-20000-1000-150.csv,allgenerations-2018-09-25T10-49-15.027Z.csv,6625000,596744,356694,59,6288669,3573535,56,52943481,51328663,Schwefel226,0.603861688,0.492915708,0.671141642,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Sphere-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Sphere-20000-1000-150.csv,allgenerations-2018-09-26T02-06-34.271Z.csv,6625000,505433,302169,59,5497203,2892771,52,46771082,43978637,Sphere,2.864556445,2.355004629,3.028667929,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\StyblinksiTang-20000-1000.csv,..\2018-09-17\epochs\functionepochs-StyblinksiTang-20000-1000-150.csv,allgenerations-2018-09-26T06-00-40.714Z.csv,6625000,572278,342448,59,6217456,3538141,56,52471560,50019432,StyblinksiTang,3.782909876,3.030028479,4.073671181,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\SumSquares-20000-1000.csv,..\2018-09-17\epochs\functionepochs-SumSquares-20000-1000-150.csv,allgenerations-2018-09-28T19-44-41.148Z.csv,6625000,505152,302256,59,5503862,3106781,56,46075457,44131567,SumSquares,2.83910163,2.289912468,3.043784258,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Trid-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Trid-20000-1000-150.csv,allgenerations-2018-09-29T00-30-55.679Z.csv,6625000,499167,298584,59,5772840,2562675,44,51777417,41167847,Trid,9.979556969,8.360711976,10.12361615,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\Zakharoy-20000-1000.csv,..\2018-09-17\epochs\functionepochs-Zakharoy-20000-1000-150.csv,allgenerations-2018-09-29T06-19-42.320Z.csv,6625000,603428,360879,59,6271097,3701310,59,52661614,51798692,Zakharoy,22.88535919,18.53805405,24.95929972,0.09,1000,20000,150,500,5
..\2018-09-17\tuning\SumOfPowers-20000-1000.csv,..\2018-09-17\epochs\functionepochs-SumOfPowers-20000-1000-150.csv,generations-1-1942of2500-SumOfPowers-genes20000x1000-pop60-mut150.0-2018-10-01T08-10-43.513Z.csv,5146300,495835,296030,59,5895017,2670690,45,50481097,41869915,SumOfPowers,0.027967498,0.02291533,0.028455266,0.09,1000,20000,150,2500,1
